Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
37 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32056E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47937E-24 3.95685E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
38 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32056E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47937E-24 3.95685E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
39 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32056E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47937E-24 3.95685E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
40 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32056E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47937E-24 3.95685E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
41 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32056E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47937E-24 3.95685E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
42 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32056E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47937E-24 3.95685E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
43 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32056E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47938E-24 3.95686E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
44 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32056E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47938E-24 3.95686E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
45 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32057E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47938E-24 3.95686E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
46 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32057E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47938E-24 3.95686E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
47 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32057E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47938E-24 3.95686E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32990E-07 9.99997E-01 1.07091E-04
48 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32057E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89582E-20 2.08914E-06 7.47938E-24 3.95686E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32990E-07 9.99997E-01 1.07091E-04
49 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75524E-16 2.19598E-14 0.00000E+00 5.60060E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32057E-23 6.61130E-16 2.05941E-14 1.10033E-24 1.89583E-20 2.08914E-06 7.47938E-24 3.95686E-18 2.16039E-28 1.27374E-18 1.30491E-17 2.12979E-10 1.00000E-01 2.12599E-12 1.11315E-14 2.70285E-12 2.99999E-04 2.32990E-07 9.99997E-01 1.07091E-04
